Advertising Products,,,,,
,,,,,
Product,Type,Game Amount, Selling price/Unit, Revenue x Game, Season Revenue
LED Bordocampo,LED,600, € 30 , € 18.000 , € 270.000 
LED Canestro,LED,600, € 25 , € 15.000 , € 225.000 
LED Parete Ovest,LED,600, € 12 , € 7.200 , € 108.000 
Led Parete Est,LED,600, € 22 , € 13.200 , € 198.000 
Schermo Nord,LED,600, € 8 , € 4.800 , € 72.000 
Schermo Sud,LED,600, € 8 , € 4.800 , € 72.000 
Led Courtside,LED,600, € 12 , € 7.200 , € 108.000 
LED Punteggio,LED,600, € 20 , € 12.000 , € 180.000 
Video,CUBO,20, € 45 , € 900 , € 13.500 
Slide,CUBO,50, € 40 , € 2.000 , € 30.000 
Anello,CUBO,50, € 35 , € 1.750 , € 26.250 
Cover,CUBO,1, € 50.000 , € -   , € 50.000 
Free Throw,Special Animation,10, € 20 , € 200 , € 3.000 
Three Point,Special Animation,10, € 20 , € 200 , € 3.000 
Block & Dunk,Special Animation,5, € 15 , € 75 , € 1.125 
Defense (Kills),Special Animation,4, € 15 , € 60 , € 900 
Fan Cam,Special Animation,2, € 110 , € 220 , € 3.300 
VIP Cam,Special Animation,2, € 60 , € 120 , € 1.800 
Arena,Naming,1, € 100.000 , € -   , € 100.000 
VIP Lounge,Naming,1, € 30.000 , € -   , € 30.000 
Hospitality Lounge,Naming,1, € 10.000 , € -   , € 10.000 
Fan zone,Naming,1, € 15.000 , € -   , € 15.000 
LBA,Naming,1, € 100.000 , € -   , € 100.000 
FIBA,Naming,1, € 30.000 , € -   , € 30.000 
Campus Facility,Naming,1, € 50.000 , € -   , € 50.000 
Free Throw,Stickers,1, € 22.500 , € -   , € 22.500 
Bordocampo,Stickers,6, € 150 , € 900 , € 13.500 
Vele,Stickers,3, € 5.000 , € -   , € -   
Court,Stickers,1, € 45.000 , € -   , € 45.000 
Exit/Entry,Stickers,10, € 100 , € 1.000 , € 15.000 
Stands,Stickers,3, € 70 , € 210 , € 3.150 
Cartello CAMPUS,Stickers,8, € 500 , € -   , € 4.000 
Court CAMPUS,Stickers,2, € 1.000 , € -   , € 2.000 
Main Front,Game Gear,1, € 47.500 , € -   , € 47.500 
Secondary 1 Front,Game Gear,1, € 30.000 , € -   , € 30.000 
Secondary 2 Front,Game Gear,1, € 20.500 , € -   , € 20.500 
Secondary 3 Front,Game Gear,1, € 20.500 , € -   , € 20.500 
Secondary 4,Game Gear,1, € 20.500 , € -   , € 20.500 
Secondary 5,Game Gear,1, € 20.500 , € -   , € 20.500 
Secondary 6,Game Gear,1, € 20.500 , € -   , € 20.500 
Main Back,Game Gear,1, € 16.000 , € -   , € 16.000 
Secondary 1 Back,Game Gear,1, € 11.200 , € -   , € 11.200 
Secondary 2 Back,Game Gear,1, € 11.200 , € -   , € 11.200 
Secondary 2 Back,Game Gear,1, € 11.200 , € -   , € 11.200 
Secondary 3 Back,Game Gear,1, € 11.200 , € -   , € 11.200 
Secondary 4 Back,Game Gear,1, € 11.200 , € -   , € 11.200 
Main Front Shorts,Game Gear,1, € 5.000 , € -   , € 5.000 
Main Back Shorts,Game Gear,1, € 3.900 , € -   , € 3.900 
Secondary Shorts,Game Gear,1, € 3.900 , € -   , € 3.900 
Main Back Warm up,Game Gear,1, € 4.400 , € -   , € 4.400 
Main Warm Up,Game Gear,1, € 9.000 , € -   , € 9.000 
Back 1 Warm Up,Game Gear,1, € 6.500 , € -   , € 6.500 
Back 2 Warm Up,Game Gear,1, € 6.500 , € -   , € 6.500 
Back 3 Warm UP,Game Gear,1, € 6.500 , € -   , € 6.500 
Back 4 Warm UP,Game Gear,1, € 6.500 , € -   , € 6.500 
Main  Campus,Game Gear,1, € 10.000 , € -   , € 10.000 
Secondary 1 Campus,Game Gear,1, € -   , € -   , € -   
Secondary 2 Campus,Game Gear,1, € -   , € -   , € -   
Backdrop,Media,10, € 60 , € 600 , € 9.000 
Hospitality pass,Game Experience,80, € 25 , € 1.967 , € 29.508 
Hospitality SKYBOX,Game Experience,60, € 41 , € 2.459 , € 36.885 
VIP Lounge pass,Game Experience,50, € 41 , € 2.049 , € 30.738 
Game Program,Media,5, € 300 , € 1.500 , € 22.500 
Game sponsor,Media,1, € 2.500 , € -   , € 2.500 
VIP Parking,Game Experience,40, € 12 , € 492 , € 7.377 
Parking 2,Game Experience,40, € 8 , € 800 , € 12.000 
Social Media Post,Media,1, € 500 , € -   , € 15.000 
DEM,Media,1, € 350 , € -   , € 10.500 
Starting 5 Post,Media,1, € 215 , € -   , € 6.450 
Game Result Post,Media,1, € 500 , € -   , € 15.000 
Video content,Media,1, € 1.000 , € -   , € 30.000 
Half time content,Media,1, € -   , € -   , € -   
T-shirt toss,Media,1, € 160 , € -   , € 2.400 
Mop boy T-shirt,Media,1, € 140 , € -   , € 2.100 
Game MVP,Media,1, € 450 , € -   , € 6.750 
Player Appereance,Media,1, € 1.000 , € -   , € 12.000 
Link Web,Media,1, € 500 , € -   , € -   
B2B,Media,1, € 500 , € -   , € -   
Arena Event,Media,1, € 1.000 , € -   , € -   
Parterre,Ticketing,600, € 1.148 , € 45.902 , € 688.525 
Parterre Est,Ticketing,225, € 631 , € 9.467 , € 142.008 
Tribuna Gold,Ticketing,1800, € 357 , € 42.787 , € 641.803 
Tribuna Silver,Ticketing,400, € 299 , € 7.978 , € 119.672 
Curva Nord,Ticketing,400, € 209 , € 5.574 , € 83.607 
Galleria,Ticketing,900, € 209 , € 12.541 , € 188.115 
Skybox (9),Ticketing,6, € 22.836 , € 9.134 , € 137.016 
Skybox (6),Ticketing,1, € 10.557 , € 704 , € 10.557 
Courtside,Ticketing,32, € 2.459 , € 5.246 , € 78.688 
Total,,, € 822.024 , € 239.035 , € 4.460.925 