Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,July,August,September,October,November,December,January,February,March,April,May,June
BROTHER,,,,,,CASH,Anno Solare,22/23,"40,000 €",,"40,000 €",0 €,"40,000 €",,0 €,0 €,,,,,,,,,,,,
C'ERA UNA VOLTA,,,,,,CASH,Stagione,22/23,"1,500 €",,"1,500 €",0 €,"1,500 €",,0 €,0 €,,,,,,,,,,,,
CALZATURIFICIO DI BESNATE,,,,,,CASH,Anno Solare,22/23,"2,000 €",,"2,000 €",0 €,"2,000 €",,0 €,0 €,,,,,,,,,,,,
ELMEC,,,,,,CASH,Stagione,22/23,"120,000 €",,"70,000 €","1,720 €","70,000 €",,"5,377 €","18,283 €",,,,,,,,,,,,
MALPENSA MED,,,,,,CASH,Stagione,22/23,"1,000 €",,"1,000 €",0 €,"1,000 €",,0 €,0 €,,,,,,,,,,,,
7 AGENCY,,,,,,CASH,Anno Solare,22/23,"1,400 €",,"1,400 €",0 €,,,0 €,"1,400 €",,,,,,,,,,,,
A3EMME,,,,,,CM,Stagione,22/23,"6,000 €",,694 €,123 €,,,"5,306 €","-1,156 €",,,,,,,,,,,,
ABBIATI,,,,,,CASH,Stagione,22/23,"6,000 €","1,000 €","5,286 €",350 €,,,714 €,36 €,,,,,,,,,,,,
ACINQUE (Ex Enerxenia),,,,,,CASH,Stagione,22/23,"60,000 €","5,000 €","52,955 €","1,442 €",,,"5,545 €","30,970 €",,,,,,,,,,,,
AcomeA,,,,,,CASH,Anno Solare,22/23,"3,250 €",,"1,602 €",220 €,,,"1,648 €","-1,698 €",,,,,,,,,,,,
AGRICOLA,,,,,,CASH,Stagione,22/23,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
ALLIANZ - BOSSI MASSIMILIANO,,,,,,CASH,Stagione,22/23,"10,000 €",,"4,260 €",200 €,,,"5,740 €","1,260 €",,,,,,,,,,,,
AON,,,,,,CASH,Stagione,22/23,"15,000 €","1,500 €","12,541 €",610 €,,,"2,459 €","3,391 €",,,,,,,,,,,,
ART GARDEN_CM,,,,,,CM,Stagione,22/23,"4,900 €",,"4,900 €",322 €,,,0 €,75 €,,,,,,,,,,,,
ART GARDEN,,,,,,CASH,Stagione,22/23,"3,900 €",,"3,425 €",282 €,,,475 €,-800 €,,,,,,,,,,,,
ARTES,,,,,,CASH,Metà Stagione,22/23,"10,000 €",,"9,761 €",831 €,,,239 €,"-2,702 €",,,,,,,,,,,,
AUTOLINEE VARESINE,,,,,,CM,Stagione,22/23,"11,000 €",,"2,016 €",200 €,,,"6,734 €","-1,104 €",,,,,,,,,,,,
AUTOTORINO,,,,,,CASH,Metà Stagione,22/23,"2,500 €",,"2,500 €",300 €,,,0 €,"-2,000 €",,,,,,,,,,,,
BIANCHI & COLLI,,,,,,CASH,Stagione,22/23,"1,500 €",,-54 €,10 €,,,"1,554 €",-204 €,,,,,,,,,,,,
BNL,,,,,,CASH,Stagione,22/23,"14,000 €",,"14,000 €",0 €,,,0 €,"14,000 €",,,,,,,,,,,,
BRAGA,,,,,,CASH,Metà Stagione,22/23,"10,000 €",,"10,000 €",778 €,,,0 €,"-1,675 €",,,,,,,,,,,,
C'ERA UNA VOLTA,,,,,,CM,Stagione,22/23,"5,500 €",,"5,143 €",200 €,,,357 €,"2,143 €",,,,,,,,,,,,
COLORIFICIO PAPOTTI,,,,,,CASH,Metà Stagione,22/23,"2,000 €",,"1,286 €",212 €,,,714 €,"-1,889 €",,,,,,,,,,,,
COMPUTER SET,,,,,,CASH,Stagione,22/23,"6,000 €",,"4,155 €",417 €,,,"1,470 €","-2,275 €",,,,,,,,,,,,
CORSI DI LINGUE,,,,,,CM,Stagione,22/23,"7,000 €",,"4,238 €",100 €,,,"1,262 €","2,738 €",,,,,,,,,,,,
CRISPI 77,,,,,,CM,Stagione,22/23,"20,000 €",,"18,215 €",930 €,,,"1,785 €","4,265 €",,,,,,,,,,,,
DIVITA - RICOLA,,,,,,CASH,Stagione,22/23,"18,000 €","2,000 €","18,000 €",743 €,,,0 €,"6,850 €",,,,,,,,,,,,
ELIOR,,,,,,CASH,Stagione,22/23,"12,000 €",,"12,000 €",514 €,,,0 €,"4,290 €",,,,,,,,,,,,
EMMEBI INVESTIGAZIONI,,,,,,CASH,Stagione,22/23,"4,000 €",,"3,286 €",220 €,,,714 €,-14 €,,,,,,,,,,,,
EN PLEIN AIR (Salumificio Beretta),,,,,,CASH,Stagione,22/23,"4,000 €",,"4,000 €",360 €,,,0 €,"-1,400 €",,,,,,,,,,,,
ESSE SOLAR,,,,,,CASH,Stagione,22/23,"25,000 €",,"25,000 €",778 €,,,0 €,"13,338 €",,,,,,,,,,,,
F.LLI BADI,,,,,,CM,Stagione,22/23,"9,600 €",,"8,850 €",113 €,,,0 €,"7,043 €",,,,,,,,,,,,
SAN BENEDETTO,,,,,,CASH,Stagione,22/23,"5,000 €",,"5,000 €",265 €,,,0 €,"1,025 €",,,,,,,,,,,,
BIRRA CASTELLO,,,,,,CASH,Stagione,22/23,"12,000 €",,"12,000 €",33 €,,,0 €,"11,500 €",,,,,,,,,,,,
FARMACIA DR. ZOCCHI,,,,,,CASH,Stagione,22/23,"5,000 €",,"5,000 €",350 €,,,0 €,-250 €,,,,,,,,,,,,
FARMACIA DR. ZOCCHI_CM,,,,,,CM,Stagione,22/23,"1,500 €",,750 €,150 €,,,0 €,"-1,620 €",,,,,,,,,,,,
FIL.VA,,,,,,CASH,Stagione,22/23,"4,000 €",,"4,000 €",0 €,,,0 €,"4,000 €",,,,,,,,,,,,
FINAZZI,,,,,,CASH,Stagione,22/23,"7,000 €",,"5,738 €",437 €,,,"1,262 €",-812 €,,,,,,,,,,,,
FNM SPA,,,,,,CASH,Stagione,22/23,"45,000 €",,"38,908 €","1,450 €",,,"4,592 €","16,798 €",,,,,,,,,,,,
GRAFICHE QUIRICI,,,,,,CM,Stagione,22/23,"8,000 €",,"5,704 €",435 €,,,"2,296 €",-821 €,,,,,,,,,,,,
GRASSI,,,,,,CASH,Stagione,22/23,"10,000 €",,"10,000 €",0 €,,,0 €,"10,000 €",,,,,,,,,,,,
GRESSONEY - REGIONE VAL D'AOSTA,,,,,,CASH,Stagione,22/23,"25,000 €",,"25,000 €",510 €,,,0 €,"17,350 €",,,,,,,,,,,,
IDROTECH,,,,,,CASH,Stagione,22/23,"4,500 €",,"3,072 €",212 €,,,"1,428 €",-103 €,,,,,,,,,,,,
INTERNET ONE,,,,,,CM,Stagione,22/23,"20,000 €",,"14,430 €",300 €,,,"4,820 €","9,930 €",,,,,,,,,,,,
INTESA SANPAOLO,,,,,,CASH,Stagione,22/23,"180,000 €","10,000 €","163,948 €","2,933 €",,,"15,302 €","119,588 €",,,,,,,,,,,,
INTRED,,,,,,CASH,Stagione,22/23,"10,000 €",,"8,738 €",680 €,,,"1,262 €","-1,462 €",,,,,,,,,,,,
IRCA,,,,,,CASH,Stagione,22/23,"100,000 €","5,000 €","73,685 €","1,280 €",,,"25,085 €","54,125 €",,,,,,,,,,,,
ISBER_CM,,,,,,CM,Stagione,22/23,"50,000 €",,"46,380 €",757 €,,,"2,870 €","34,905 €",,,,,,,,,,,,
ISBER,,,,,,CASH,Stagione,22/23,"24,590 €","4,098 €","22,118 €",491 €,,,"1,722 €","14,568 €",,,,,,,,,,,,
LASI,,,,,,CASH,Stagione,22/23,"36,000 €",,"32,040 €",364 €,,,0 €,"26,578 €",,,,,,,,,,,,
LEADSTAR Media,,,,,,CASH,Anno Solare,22/23,"1,350 €",,"1,350 €",0 €,,,0 €,"1,350 €",,,,,,,,,,,,
Legabasket,,,,,,CASH,Stagione,22/23,0 €,,"-29,690 €","1,010 €",,,"22,190 €","-45,740 €",,,,,,,,,,,,
LINDT,,,,,,CASH,Stagione,22/23,"15,000 €",,"15,000 €",300 €,,,0 €,"10,500 €",,,,,,,,,,,,
LIUC,,,,,,CASH,Stagione,22/23,"6,000 €",,"6,000 €",518 €,,,0 €,"-1,775 €",,,,,,,,,,,,
LOCAUTO,,,,,,CASH,Stagione,22/23,"10,100 €",,"7,054 €",412 €,,,"2,296 €",699 €,,,,,,,,,,,,
MACCECHINI,,,,,,CM,Stagione,22/23,"3,000 €",,"2,402 €",212 €,,,598 €,-773 €,,,,,,,,,,,,
MACRON,,,,,,CM,Stagione,22/23,"85,000 €",,"85,000 €",0 €,,,0 €,"85,000 €",,,,,,,,,,,,
MAGHETTI,,,,,,CASH,Stagione,22/23,"15,000 €",,"11,954 €",793 €,,,"2,296 €",54 €,,,,,,,,,,,,
MANCUSO PIU',,,,,,CASH,Stagione,22/23,"2,000 €",,"2,000 €",80 €,,,0 €,800 €,,,,,,,,,,,,
MAS AMOR,,,,,,CM,Stagione,22/23,"7,500 €",,"7,500 €",0 €,,,0 €,"7,500 €",,,,,,,,,,,,
MASTERPACK,,,,,,CASH,Stagione,22/23,"10,000 €",,"7,146 €",612 €,,,"2,854 €","-2,034 €",,,,,,,,,,,,
MAZZUCHELLI,,,,,,CASH,Anno Solare,22/23,"5,000 €",,"5,000 €",281 €,,,0 €,788 €,,,,,,,,,,,,
NEW GOMME - CONTINENTAL,,,,,,CASH,Stagione,22/23,"5,000 €",,"3,572 €",283 €,,,"1,428 €",-678 €,,,,,,,,,,,,
NIPPO MOTORS,,,,,,CM,Stagione,22/23,"20,000 €",,"16,954 €","1,105 €",,,"2,296 €",259 €,,,,,,,,,,,,
NOVAUTO,,,,,,CM,Stagione,22/23,"20,000 €",,"16,212 €",630 €,,,"3,788 €","6,762 €",,,,,,,,,,,,
NOVELLO,,,,,,CASH,Stagione,22/23,"15,000 €",,"12,524 €",767 €,,,"2,476 €","1,024 €",,,,,,,,,,,,
NUTRITION & SANTE - ISOSTAD_CM,,,,,,CM,Stagione,22/23,"7,500 €",,"7,500 €",387 €,,,0 €,"1,700 €",,,,,,,,,,,,
NUTRITION & SANTE - ISOSTAD,,,,,,CASH,Stagione,22/23,"2,500 €","1,000 €","2,500 €",152 €,,,0 €,225 €,,,,,,,,,,,,
OLOPROJECT,,,,,,CM,Stagione,22/23,"10,000 €",,"8,622 €",354 €,,,"1,378 €","3,312 €",,,,,,,,,,,,
OMP,,,,,,CM,Stagione,22/23,"17,000 €",,"17,000 €",660 €,,,0 €,"7,100 €",,,,,,,,,,,,
OPENJOBMETIS,,,,,,CASH,Stagione,22/23,"400,000 €",,"341,632 €","7,767 €",,,"49,758 €","224,052 €",,,,,,,,,,,,
ORGOGLIO VARESE,,,,,,CASH,Stagione,22/23,"56,000 €",,"35,163 €","4,067 €",,,"20,837 €","-25,837 €",,,,,,,,,,,,
OSSOLA,,,,,,CM,Stagione,22/23,"1,000 €",,"-2,724 €",0 €,,,"3,724 €","-2,724 €",,,,,,,,,,,,
PANZERI,,,,,,CASH,Stagione,22/23,"10,000 €",,"8,352 €",545 €,,,"1,648 €",177 €,,,,,,,,,,,,
PIGGY MARKET,,,,,,CASH,Anno Solare,22/23,"5,000 €",,"4,525 €",648 €,,,475 €,"-5,200 €",,,,,,,,,,,,
PREVCOM,,,,,,CASH,Stagione,22/23,"250,000 €",,"232,045 €","2,060 €","50,000 €",,"14,265 €","150,605 €",,,,,,,,,,,,
PRM IMPIANTI,,,,,,CM,Stagione,22/23,"6,000 €",,"3,704 €",0 €,,,"2,296 €","3,704 €",,,,,,,,,,,,
PUBBLYTEAM,,,,,,CASH,Stagione,22/23,"15,000 €",,"13,473 €",790 €,,,"1,527 €","1,623 €",,,,,,,,,,,,
PUBBLYTEAM,,,,,,CM,Stagione,22/23,"15,000 €",,"15,000 €",0 €,,,0 €,"15,000 €",,,,,,,,,,,,
RB ALBERGHIERA,,,,,,CASH,Anno Solare,22/23,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
SEV,,,,,,CM,Stagione,22/23,"33,000 €",,"31,024 €",860 €,,,"1,976 €","18,124 €",,,,,,,,,,,,
SEXTUS,,,,,,CM,Stagione,22/23,"6,000 €",,"3,704 €",437 €,,,"2,296 €","-2,846 €",,,,,,,,,,,,
SORELLE RAMONDA,,,,,,CM,Stagione,22/23,"6,500 €",,"4,204 €",300 €,,,"2,296 €",-296 €,,,,,,,,,,,,
STRUQTURE,,,,,,CASH,Stagione,22/23,"2,800 €",,"1,305 €",12 €,,,"1,495 €","1,130 €",,,,,,,,,,,,
TAP TECH,,,,,,CASH,Stagione,22/23,"10,000 €",,"7,704 €",312 €,,,"2,296 €","3,029 €",,,,,,,,,,,,
TCI,,,,,,CASH,Stagione,22/23,"84,100 €",,"83,504 €",970 €,,,596 €,"68,954 €",,,,,,,,,,,,
TECNOSERVIZI,,,,,,CM,Stagione,22/23,"20,000 €",,"13,112 €",620 €,,,"6,888 €","3,812 €",,,,,,,,,,,,
TIGROS,,,,,,CASH,Stagione,22/23,"100,000 €",,"91,612 €","1,545 €",,,"6,888 €","68,437 €",,,,,,,,,,,,
TIME2PLAY,,,,,,CASH,Anno Solare,22/23,"1,500 €",,"1,500 €",0 €,,,0 €,"1,500 €",,,,,,,,,,,,
UNIPOL/MORALIA,,,,,,CASH,Anno Solare,22/23,"4,750 €",,"4,750 €",0 €,,,0 €,"4,750 €",,,,,,,,,,,,
UNIVA,,,,,,CASH,Stagione,22/23,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
UNIVA SERVIZI,,,,,,CASH,Stagione,22/23,"4,400 €",,"3,252 €",0 €,,,"1,148 €","3,252 €",,,,,,,,,,,,
VARESE NOI,,,,,,CM,Stagione,22/23,"8,000 €",,"6,738 €",330 €,,,"1,262 €","1,788 €",,,,,,,,,,,,
VARESEWEB,,,,,,CM,Stagione,22/23,"10,000 €",,"9,286 €",567 €,,,714 €,786 €,,,,,,,,,,,,
VCV,,,,,,CASH,Stagione,22/23,"10,000 €",,"8,852 €",540 €,,,"1,148 €",752 €,,,,,,,,,,,,
VERBANO CARTE,,,,,,CM,Stagione,22/23,"3,500 €",,"2,786 €",200 €,,,714 €,-214 €,,,,,,,,,,,,
VIRAS,,,,,,CM,Stagione,22/23,"1,500 €",,786 €,112 €,,,714 €,-889 €,,,,,,,,,,,,
VIVATICKET,,,,,,CASH,Stagione,22/23,"25,000 €","5,000 €","25,000 €",623 €,,,0 €,"15,650 €",,,,,,,,,,,,
VNC OWNER'S CLUB,,,,,,CASH,Stagione,22/23,"390,000 €",,"297,398 €","5,885 €",,,"84,352 €","205,523 €",,,,,,,,,,,,
VNC OWNER'S CLUB,,,,,,CM,Stagione,22/23,"64,319 €",,"50,871 €","2,380 €",,,"11,948 €","14,446 €",,,,,,,,,,,,
WEBLINK,,,,,,CM,Stagione,22/23,"10,000 €",,"6,442 €",240 €,,,"3,558 €","2,842 €",,,,,,,,,,,,
ZANZI,,,,,,CM,Stagione,22/23,"1,500 €",,72 €,0 €,,,"1,428 €",72 €,,,,,,,,,,,,
7 AGENCY,,,,,,CASH,Anno Solare,23/24,"1,400 €",,"1,400 €",2 €,,,0 €,"1,375 €",,,,,,,,,,,,
ACOMEA,,,,,,CASH,Anno Solare,23/24,"2,500 €",,"2,500 €",175 €,,,0 €,-125 €,,,,,,,,,,,,
ADATTIVO,,,,,,CASH,Anno Solare,23/24,"6,000 €",,"4,473 €",288 €,,,"1,527 €",148 €,,,,,,,,,,,,
BROTHER,,,,,,CASH,Anno Solare,23/24,"10,000 €",,"7,704 €",0 €,,,"2,296 €","7,704 €",,,,,,,,,,,,
CALZATURIFICIO DI BESNATE,,,,,,CASH,Anno Solare,23/24,"1,250 €",,"1,250 €",0 €,"1,250 €",,0 €,0 €,,,,,,,,,,,,
CONSULTINVEST,,,,,,CASH,Anno Solare,23/24,"5,000 €",,"3,738 €",390 €,,,"1,262 €","-2,107 €",,,,,,,,,,,,
GENESI RETAILS,,,,,,CASH,Anno Solare,23/24,"9,000 €",,"9,000 €","1,054 €",,,0 €,"-6,803 €",,,,,,,,,,,,
LEADSTAR MEDIA,,,,,,CASH,Anno Solare,23/24,"1,350 €",,"1,350 €",5 €,,,0 €,"1,275 €",,,,,,,,,,,,
MAZZUCHELLI,,,,,,CASH,Anno Solare,23/24,"6,250 €",,"6,250 €",281 €,,,0 €,"2,038 €",,,,,,,,,,,,
RB ALBERGHIERA,,,,,,CASH,Anno Solare,23/24,"2,500 €",,"2,500 €",116 €,,,0 €,763 €,,,,,,,,,,,,
SIELCO,,,,,,CASH,Anno Solare,23/24,"5,000 €",,"3,572 €",210 €,,,"1,428 €",427 €,,,,,,,,,,,,
SUMMEET,,,,,,CASH,Game,23/24,"15,000 €",,"8,266 €",0 €,,"15,000 €","6,734 €","-6,734 €",,,,,,,,,,,,
ESSE SOLAR,,,,,,CASH,Game,23/24,"10,000 €",,"2,948 €",0 €,,"10,000 €","4,592 €","-7,052 €",,,,,,,,,,,,
DROGHERIA 36,,,,,,CASH,Game,23/24,800 €,,800 €,141 €,,,0 €,"-1,313 €",,,,,,,,,,,,
SIMA ENERGIE,,,,,,CASH,Game,23/24,500 €,,500 €,30 €,,,0 €,50 €,,,,,,,,,,,,
A SERVICES,,,,,,CASH,Stagione,23/24,"10,000 €",,"10,000 €",175 €,,,0 €,"7,375 €",,,,,,,,,,,,
A3EMME,,,,,,CM,Stagione,23/24,"6,000 €",,"1,408 €",80 €,,,"4,592 €",88 €,,,,,,,,,,,,
ABBIATI,,,,,,CASH,Stagione,23/24,"7,500 €","1,000 €","6,786 €",548 €,,,714 €,"-1,429 €",,,,,,,,,,,,
ACINQUE (Energy Cup),,,,,,CASH,Stagione,23/24,"6,000 €",,"6,000 €",0 €,,,0 €,"6,000 €",,,,,,,,,,,,
ACINQUE/ACEL,,,,,,CASH,Stagione,23/24,"60,000 €","5,000 €","52,958 €","2,268 €",,,"5,542 €","18,693 €",,,,,,,,,,,,
AGRICOLA,,,,,,CASH,Stagione,23/24,"15,000 €",,"13,215 €",662 €,,,"1,785 €","3,170 €",,,,,,,,,,,,
AON,,,,,,CASH,Stagione,23/24,"15,000 €","2,000 €","7,590 €",575 €,,,"6,180 €","-1,215 €",,,,,,,,,,,,
ART GARDEN,,,,,,CASH,Stagione,23/24,"6,200 €",,"5,052 €",218 €,,,"1,148 €","1,788 €",,,,,,,,,,,,
ART GARDEN_CM,,,,,,CM,Stagione,23/24,"5,800 €",,"4,652 €",218 €,,,"1,148 €","1,388 €",,,,,,,,,,,,
ARTES ,,,,,,CASH,Stagione,23/24,"16,500 €","3,000 €","14,715 €","1,055 €",,,"1,785 €","-1,110 €",,,,,,,,,,,,
AUTOLINEE VARESINE,,,,,,CM,Stagione,23/24,"14,500 €",,"3,934 €",0 €,,,"8,316 €","3,814 €",,,,,,,,,,,,
AUTOTORINO,,,,,,CASH,Stagione,23/24,"5,660 €",,"4,946 €",305 €,,,714 €,371 €,,,,,,,,,,,,
BRAGA,,,,,,CASH,Stagione,23/24,"8,000 €","1,000 €","8,000 €",573 €,,,0 €,-600 €,,,,,,,,,,,,
C'ERA UNA VOLTA,,,,,,CM,Stagione,23/24,"5,000 €",,"4,007 €",565 €,,,993 €,"-4,468 €",,,,,,,,,,,,
CENTRELLA,,,,,,CASH,Stagione,23/24,"4,000 €",600 €,"2,098 €",118 €,,,"1,527 €",336 €,,,,,,,,,,,,
CHARITY STARS,,,,,,CASH,Stagione,23/24,0 €,,0 €,0 €,,,0 €,0 €,,,,,,,,,,,,
COLORIFICIO PAPOTTI,,,,,,CASH,Stagione,23/24,"4,800 €",500 €,"3,372 €",197 €,,,"1,428 €",302 €,,,,,,,,,,,,
CORSI DI LINGUE,,,,,,CM,Stagione,23/24,"7,000 €",,"4,357 €",144 €,,,"1,893 €","2,077 €",,,,,,,,,,,,
DIVITA - RICOLA,,,,,,CASH,Stagione,23/24,"18,000 €","2,000 €","18,000 €",743 €,,,0 €,"6,850 €",,,,,,,,,,,,
ELIOR,,,,,,CASH,Stagione,23/24,"15,000 €",,"15,000 €",846 €,,,0 €,"2,310 €",,,,,,,,,,,,
ELMAR,,,,,,CASH,Stagione,23/24,"5,000 €",,431 €,562 €,,,"3,444 €","-8,114 €",,,,,,,,,,,,
ELMEC INFORMATICA,,,,,,CASH,Stagione,23/24,"100,000 €",,"77,727 €",805 €,"70,000 €",,"19,168 €","-4,888 €",,,,,,,,,,,,
EMMEBI INVESTIGAZIONI,,,,,,CASH,Stagione,23/24,"4,700 €",,"3,438 €",359 €,,,"1,262 €","-1,947 €",,,,,,,,,,,,
ERREÀ,,,,,,CM,Stagione,23/24,"80,000 €",,"76,276 €",805 €,,,"3,724 €","64,021 €",,,,,,,,,,,,
ESSE SOLAR,,,,,,CM,Stagione,23/24,"32,200 €",,"32,200 €",0 €,,,0 €,"32,080 €",,,,,,,,,,,,
F.LLI BADI,,,,,,CASH,Stagione,23/24,"17,000 €",,"14,357 €",485 €,,,"1,893 €","6,962 €",,,,,,,,,,,,
F.LLI BADI_CM,,,,,,CM,Stagione,23/24,"10,000 €",,"8,619 €",127 €,,,631 €,"6,719 €",,,,,,,,,,,,
FIL.VA,,,,,,CASH,Stagione,23/24,"8,000 €",,"8,000 €",973 €,,,0 €,"-6,600 €",,,,,,,,,,,,
FINAZZI,,,,,,CASH,Stagione,23/24,"7,000 €",,"5,738 €",275 €,,,"1,262 €","1,613 €",,,,,,,,,,,,
FNM,,,,,,CASH,Stagione,23/24,"45,000 €",,"38,908 €","1,450 €",,,"4,592 €","17,158 €",,,,,,,,,,,,
FRA DIAVOLO,,,,,,CASH,Stagione,23/24,"5,000 €",,"5,000 €",674 €,,,0 €,"-5,113 €",,,,,,,,,,,,
FRAGALE,,,,,,CM,Stagione,23/24,"2,500 €",,"2,500 €",116 €,,,0 €,763 €,,,,,,,,,,,,
GRAFICHE QUIRICI,,,,,,CM,Stagione,23/24,"7,000 €",,"3,442 €",108 €,,,"3,558 €","1,822 €",,,,,,,,,,,,
GRASSI,,,,,,CASH,Stagione,23/24,"10,000 €",,"10,000 €",0 €,,,0 €,"10,000 €",,,,,,,,,,,,
GRESSONEY - REGIONE VALLE D'AOSTA,,,,,,CASH,Stagione,23/24,"30,000 €",,"30,000 €","1,018 €",,,0 €,"14,725 €",,,,,,,,,,,,
IDROTECH VARESE,,,,,,CASH,Stagione,23/24,"5,350 €",,"2,494 €",202 €,,,"2,856 €",-531 €,,,,,,,,,,,,
INTERNET ONE,,,,,,CM,Stagione,23/24,"20,000 €",,"14,430 €",513 €,,,"4,820 €","6,490 €",,,,,,,,,,,,
INTESA SAN PAOLO,,,,,,CASH,Stagione,23/24,"200,000 €","10,000 €","180,008 €",0 €,,"20,000 €","19,242 €","159,648 €",,,,,,,,,,,,
IRCA,,,,,,CASH,Stagione,23/24,"100,000 €","5,000 €","67,476 €","1,918 €",,,"27,544 €","38,341 €",,,,,,,,,,,,
ISBER_CM,,,,,,CM,Stagione,23/24,"50,000 €",,"47,329 €",609 €,,,"2,296 €","38,192 €",,,,,,,,,,,,
ISBER,,,,,,CASH,Stagione,23/24,"15,000 €","5,000 €","11,954 €",614 €,,,"2,296 €","2,562 €",,,,,,,,,,,,
ITELYUM,,,,,,CASH,Stagione,23/24,"165,000 €","5,000 €","160,431 €","6,962 €",,,"3,444 €","55,826 €",,,,,,,,,,,,
LEDVANCE,,,,,,CM,Stagione,23/24,"17,000 €",,"15,572 €",545 €,,,"1,428 €","7,397 €",,,,,,,,,,,,
LINDT,,,,,,CASH,Stagione,23/24,0 €,,0 €,0 €,,,0 €,0 €,,,,,,,,,,,,
LIUC,,,,,,CASH,Stagione,23/24,"6,500 €","1,000 €","6,500 €",384 €,,,0 €,735 €,,,,,,,,,,,,
LOCAUTO RENT,,,,,,CASH,Stagione,23/24,"10,100 €","1,500 €","9,220 €",338 €,,,505 €,"4,145 €",,,,,,,,,,,,
MACCECHINI,,,,,,CM,Stagione,23/24,"3,000 €",,"2,402 €",0 €,,,598 €,"2,402 €",,,,,,,,,,,,
