Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,July,August,September,October,November,December,January,February,March,April,May,June
MACCHI VARESE,,,,,,CASH,Stagione,23/24,"4,500 €",,"3,429 €",180 €,,,"1,071 €",729 €,,,,,,,,,,,,
MAGHETTI,,,,,,CASH,Stagione,23/24,"15,000 €",,"11,954 €",740 €,,,"2,296 €",854 €,,,,,,,,,,,,
MANCUSO PIÙ,,,,,,CASH,Stagione,23/24,"4,000 €",,"4,000 €",327 €,,,0 €,-900 €,,,,,,,,,,,,
MARELLI & POZZI,,,,,,CM,Stagione,23/24,"12,000 €",,"11,250 €",0 €,,,0 €,"11,130 €",,,,,,,,,,,,
MAS AMOR,,,,,,CM,Stagione,23/24,"15,000 €",,"14,348 €",420 €,,,652 €,"8,048 €",,,,,,,,,,,,
MASTERPACK,,,,,,CASH,Stagione,23/24,"15,000 €",,"12,146 €",726 €,,,"2,854 €","1,251 €",,,,,,,,,,,,
NICOLA GALLI,,,,,,CASH,Stagione,23/24,"14,000 €",,"8,711 €",237 €,,,"3,444 €","4,621 €",,,,,,,,,,,,
NIPPO MOTORS,,,,,,CM,Stagione,23/24,"10,000 €",,"6,954 €",753 €,,,"2,296 €","-4,334 €",,,,,,,,,,,,
NOVELLO,,,,,,CASH,Stagione,23/24,"15,000 €","2,000 €","15,000 €",887 €,,,0 €,"1,700 €",,,,,,,,,,,,
NUTRITION & SANTE - ISOSTAD_CM,,,,,,CM,Stagione,23/24,"7,500 €",,"7,500 €",0 €,,,0 €,"7,500 €",,,,,,,,,,,,
NUTRITION & SANTE - ISOSTAD,,,,,,CASH,Stagione,23/24,"2,500 €","1,000 €","2,500 €",180 €,,,0 €,-200 €,,,,,,,,,,,,
OPENJOBMETIS,,,,,,CASH,Stagione,23/24,,,"354,636 €","10,122 €",,,"36,139 €",,,,,,,,,,,,,
ORGOGLIO VARESE,,,,,,CASH,Stagione,23/24,"80,000 €",,"78,500 €",0 €,,,0 €,"78,500 €",,,,,,,,,,,,
PELLIGRA ITALIA,,,,,,CASH,Stagione,23/24,"138,462 €",,"138,462 €","4,370 €",,,0 €,"72,912 €",,,,,,,,,,,,
POZZI,,,,,,CASH,Stagione,23/24,"6,000 €",,"3,704 €",686 €,,,"2,296 €","-6,584 €",,,,,,,,,,,,
PUBBLYTEAM,,,,,,CASH,Stagione,23/24,"10,000 €",,"8,477 €",570 €,,,"1,148 €",-73 €,,,,,,,,,,,,
PREVCOM,,,,,,CASH,Stagione,23/24,"500,000 €",,"476,964 €","2,900 €","250,000 €",,"19,346 €","182,919 €",,,,,,,,,,,,
RB ALBERGHIERA,,,,,,CM,Stagione,23/24,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
RENT4FOOD,,,,,,CM,Stagione,23/24,"7,000 €",,"5,572 €",120 €,,,"1,428 €","3,772 €",,,,,,,,,,,,
SECONDA STRADA,,,,,,CASH,Stagione,23/24,"5,000 €",,"5,000 €",257 €,,,0 €,"1,150 €",,,,,,,,,,,,
SECONDA STRADA_CM,,,,,,CM,Stagione,23/24,"2,000 €",,"2,000 €",72 €,,,0 €,925 €,,,,,,,,,,,,
SEMPLICE FOOD,,,,,,CASH,Stagione,23/24,"7,500 €","1,000 €","4,454 €",258 €,,,"2,296 €",579 €,,,,,,,,,,,,
SEV,,,,,,CM,Stagione,23/24,"20,000 €",,"18,738 €",860 €,,,"1,262 €","5,838 €",,,,,,,,,,,,
STRUQTURE,,,,,,CASH,Stagione,23/24,"6,600 €","1,000 €","4,815 €",448 €,,,"1,785 €","-1,910 €",,,,,,,,,,,,
SUNRISE MEDIA ,,,,,,CM,Stagione,23/24,"12,000 €",,"7,221 €",120 €,,,"4,779 €","5,421 €",,,,,,,,,,,,
TCI,,,,,,CASH,Stagione,23/24,"100,000 €",,"84,976 €","2,092 €",,,"13,794 €","53,061 €",,,,,,,,,,,,
TECNOSERVIZI,,,,,,CM,Stagione,23/24,"20,000 €",,"11,612 €",0 €,,,"6,888 €","11,492 €",,,,,,,,,,,,
TECNOTETTO,,,,,,CASH,Stagione,23/24,"2,300 €",500 €,"2,300 €",221 €,,,0 €,"-1,015 €",,,,,,,,,,,,
TIGROS,,,,,,CASH,Stagione,23/24,"100,000 €",,"93,158 €","5,208 €",,,"4,592 €","15,033 €",,,,,,,,,,,,
TIME2PLAY,,,,,,CASH,Stagione,23/24,"1,500 €",,"1,500 €",0 €,,,0 €,"1,500 €",,,,,,,,,,,,
TORSELLINI VETRO,,,,,,CASH,Stagione,23/24,"8,000 €",,"4,954 €",640 €,,,"2,296 €","-4,646 €",,,,,,,,,,,,
UNIVA,,,,,,CASH,Stagione,23/24,"4,400 €",,"3,769 €",5 €,,,631 €,"3,694 €",,,,,,,,,,,,
VARESE NOI,,,,,,CM,Stagione,23/24,"8,000 €",,"6,738 €",330 €,,,"1,262 €","1,788 €",,,,,,,,,,,,
VARESEWEB,,,,,,CM,Stagione,23/24,0 €,,-714 €,567 €,,,714 €,"-9,214 €",,,,,,,,,,,,
VCV,,,,,,CASH,Stagione,23/24,"10,000 €",,"10,000 €",557 €,,,0 €,"1,650 €",,,,,,,,,,,,
VERBANO CARTE,,,,,,CM,Stagione,23/24,"3,500 €",,"2,786 €",205 €,,,714 €,-289 €,,,,,,,,,,,,
VIRAS,,,,,,CM,Stagione,23/24,"1,500 €",,786 €,0 €,,,714 €,786 €,,,,,,,,,,,,
VIVATICKET,,,,,,CM,Stagione,23/24,"25,000 €","5,000 €","18,908 €",388 €,,,"4,592 €","13,083 €",,,,,,,,,,,,
VNC OWNER'S CLUB,,,,,,CASH,Stagione,23/24,"132,380 €",,"29,549 €","12,515 €",,,"81,831 €","-161,476 €",,,,,,,,,,,,
VNC OWNER'S CLUB_CM,,,,,,CM,Stagione,23/24,"47,620 €",,"47,620 €",0 €,,,0 €,"47,620 €",,,,,,,,,,,,
WEBLINK,,,,,,CM,Stagione,23/24,0 €,,"-4,683 €",0 €,,,"3,558 €","-4,683 €",,,,,,,,,,,,
YOP,,,,,,CM,Stagione,23/24,"45,000 €",,"38,469 €","1,247 €",,,"5,781 €","19,769 €",,,,,,,,,,,,
Z ONE CONCEPT,,,,,,CASH,Stagione,23/24,"11,800 €",,"9,938 €",102 €,,,"1,862 €","8,413 €",,,,,,,,,,,,
ZANZI,,,,,,CM,Stagione,23/24,"1,500 €",,72 €,0 €,,,"1,428 €",72 €,,,,,,,,,,,,
92DESIGN,Comunicazione/Pubblicità,Piccola,Locale,,,CASH,Stagione,24/25,"2,000 €",,"1,525 €",72 €,,,475 €,450 €,,,,,"1,000 €",,"1,000 €",,,,,
A SERVICES,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,"10,000 €",,"6,177 €",345 €,,,"3,823 €","1,002 €",,,"10,000 €",,,,,,,,,
ABBIATI,Serramenti,Piccola,Locale,,,CASH,Stagione,24/25,"7,500 €","1,000 €","6,786 €",413 €,,,714 €,596 €,,,,"1,500 €","1,500 €",,"1,500 €",,"1,500 €",,"1,500 €",
ACINQUE/ACEL,Energia,Grande,Nazionale,,,CASH,Stagione,24/25,"60,000 €","5,000 €","52,958 €","2,268 €",,,"5,542 €","18,693 €",,,,"30,000 €",,,"30,000 €",,,,,
ACOMEA,Finanziario/Bancario,Grande,Nazionale,,,CASH,Anno Solare,24/25,"5,000 €",,"5,000 €",375 €,,,0 €,-625 €,,,,,,,,,,,,
AERAS AVIATION,Aerospace,Media,Internazionale,,,CASH,Stagione,24/25,"30,000 €","4,500 €","14,658 €",815 €,,,"12,132 €","2,073 €",,,"10,000 €",,,"10,000 €",,,"10,000 €",,,
AGRICOLA,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,24/25,"15,000 €","2,500 €","13,215 €",562 €,,,"1,785 €","4,670 €",,,"5,000 €",,,"5,000 €",,"5,000 €",,,,
ALA,Aerospace,Grande,Internazionale,,,CASH,Stagione,24/25,"20,000 €","3,000 €","13,852 €",717 €,,,"4,918 €","2,912 €",,,"10,000 €",,,"10,000 €",,,,,,
AON,Assicurazioni,Grande,Nazionale,,,CASH,Stagione,24/25,"15,000 €","2,000 €","8,852 €",455 €,,,"4,918 €","1,847 €",,,,,,"15,000 €",,,,,,
ARTES ,Industria,Media,Locale,,,CASH,Stagione,24/25,"16,500 €","3,000 €","14,715 €",798 €,,,"1,785 €","2,753 €",,,,,,,"6,500 €","5,000 €","5,000 €",,,
AUTOLINEE VARESINE,Trasporti,Media,Locale,,,CM,Stagione,24/25,"12,000 €",,"1,434 €",0 €,,,"8,316 €","1,134 €",,,,,,,,,,,,
BADI,Food & Beverage,Piccola,Locale,,,CM,Stagione,24/25,"8,000 €",,"3,976 €",345 €,,,"2,524 €","-1,319 €",,,,,,,,,,,,
BIRRA CASTELLO,Food & Beverage,Grande,Nazionale,,,CASH,Stagione,24/25,"12,500 €",,"12,500 €",914 €,,,0 €,"-1,205 €",,,,,"12,500 €",,,,,,,
BRAGA,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,"20,000 €","3,000 €","20,000 €","1,237 €",,,0 €,"1,450 €",,,,,"20,000 €",,,,,,,
C'ERA UNA VOLTA,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,24/25,"7,000 €",,"6,582 €",0 €,,,418 €,"6,582 €",,,,,,,,,,,,
CALZATURIFICIO DI BESNATE,Commercio/GDO,Piccola,Locale,,,CASH,Anno Solare,24/25,"1,000 €",,"1,000 €",0 €,,,0 €,"1,000 €",,,,,,,,,,,,
CENTRELLA,Medico,Piccola,Locale,,,CASH,Stagione,24/25,"5,000 €","1,000 €","2,988 €",118 €,,,"1,262 €","1,226 €",,,,,,"2,500 €",,,"2,500 €",,,
COLORIFICIO PAPOTTTI,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,24/25,"4,800 €",500 €,"3,372 €",95 €,,,"1,428 €","1,827 €",,,"1,000 €",,"1,000 €",,"1,000 €",,"1,000 €",,800 €,
CONSULTINVEST,Finanziario/Bancario,Grande,Nazionale,,,CASH,Anno Solare,24/25,"10,000 €","1,000 €","8,738 €",390 €,,,"1,262 €","2,893 €",,,,,,,,,,,,
CORSI DI LINGUE,Scolastico/Corsi,Piccola,Locale,,,CM,Stagione,24/25,"4,000 €",,"2,107 €",345 €,,,"1,893 €","-3,188 €",,,,,,,,,,,,
CREATIVE LABS,Servizi/Artigiano,Piccola,Nazionale,,,CASH,Stagione,24/25,"10,000 €",,"6,954 €",562 €,,,"2,296 €","-1,591 €",,,,,"10,000 €",,,,,,,
DIVANI & DIVANI,Commercio/GDO,Piccola,Nazionale,,,CM,Stagione,24/25,"25,000 €","3,500 €","24,286 €","1,414 €",,,714 €,"3,071 €",,,,,,,,,,,,
DIVITA - RICOLA,Food & Beverage,Media,Nazionale,,,CASH,Stagione,24/25,"20,000 €","2,500 €","20,000 €","1,287 €",,,0 €,695 €,,,"10,000 €",,"10,000 €",,,,,,,
DUFERCO,Energia,Grande,Nazionale,,,CASH,Stagione,24/25,"20,000 €","3,000 €","17,704 €",823 €,,,"2,296 €","5,354 €",,,,"10,000 €",,,"10,000 €",,,,,
EDILDOMUS,Edilizia,Piccola,Locale,,,CASH,Stagione,24/25,"6,250 €",600 €,"5,536 €",152 €,"2,000 €",,714 €,"1,261 €",,,,,,,,,,,,
ELMAR,Elettronica,Piccola,Locale,,,CASH,Stagione,24/25,"10,000 €","1,500 €","5,431 €",562 €,,,"3,444 €","-3,114 €",,,"5,000 €",,,"5,000 €",,,,,,
ELMEC INFORMATICA,IT,Grande,Nazionale,,,CASH,Stagione,24/25,"100,000 €",,"77,727 €",555 €,"70,000 €",,"19,168 €","-1,798 €",,,,,,,,,,,,
ERREÀ,Abbigliamento,Media,Nazionale,,,CM,Stagione,24/25,"65,000 €",,"61,276 €",805 €,,,"3,724 €","49,021 €",,,,,,,,,,,,
FILVA,Industria,Media,Nazionale,,,CASH,Stagione,24/25,"7,080 €","1,000 €","5,652 €",33 €,,,"1,428 €","5,152 €",,,,"7,080 €",,,,,,,,
FINAZZI,Serramenti,Piccola,Locale,,,CASH,Stagione,24/25,"7,500 €","1,000 €","6,238 €",62 €,,,"1,262 €","5,313 €",,,,,"7,500 €",,,,,,,
FNM,Trasporti,Grande,Regionale,,,CASH,Stagione,24/25,"45,000 €",,"38,908 €","1,296 €",,"15,000 €","4,592 €","4,228 €",,,,,,,,,,,,
FRAGALE,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,24/25,"3,500 €",,"3,500 €",43 €,,,0 €,"2,850 €",,,,,,,,,,,,
GENESI RETAILS,Commercio/GDO,Piccola,Locale,,,CASH,Anno Solare,24/25,"9,000 €",,"9,000 €","1,054 €",,,0 €,"-6,803 €",,,,,,,,,,,,
GHERITTI,Facility Management,Piccola,Locale,,,CASH,Stagione,24/25,"4,500 €",500 €,"3,786 €",129 €,,,714 €,"1,849 €",,,,"1,000 €","1,000 €",,"1,000 €","1,000 €","5,000 €",,,
GRAFICHE QUIRICI,Media,Piccola,Locale,,,CM,Stagione,24/25,"7,000 €",,"3,442 €",311 €,,,"3,558 €","-1,223 €",,,,,,,,,,,,
GREENBACK,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,"4,000 €",,"3,286 €",84 €,,,714 €,"2,024 €",,,,,,,,,,,,
GRESSONEY - VALLE D'AOSTA,Pubblico,Piccola,Regionale,,,CASH,Stagione,24/25,"30,000 €",,"30,000 €",0 €,,,0 €,"30,000 €",,,,,,,,,,,,"30,000 €"
IDROTECH,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,"6,500 €","1,000 €","3,644 €",287 €,,,"2,856 €",-656 €,,,"2,500 €","2,000 €","2,000 €",,,,,,,
IN PIÙ BROKER,,,,,,CASH,Anno Solare,24/25,"10,000 €",,"9,631 €",748 €,,,0 €,"-2,743 €",,,,,,,,,"5,000 €","5,000 €",,
INTESA SAN PAOLO,Finanziario/Bancario,Grande,Nazionale,,,CASH,Stagione,24/25,"180,000 €",,"160,958 €","2,575 €",,"20,000 €","18,292 €","101,973 €",,,,,,,,,,,,
INTRED,ISP,Media,Regionale,,,CM,Stagione,24/25,"38,329 €",,"36,033 €","1,872 €",,,"2,296 €","7,953 €",,,,,,,,,,,,
IRCA,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,"100,000 €","5,000 €","67,476 €","1,918 €",,,"27,544 €","38,341 €",,,"40,000 €",,,"30,000 €",,,"30,000 €",,,
ISBER,Medico,Piccola,Locale,,,CASH,Stagione,24/25,"14,754 €","4,098 €","9,412 €",0 €,"2,459 €",,"4,592 €","6,653 €",,,,,,,,,,,,
ISBER_CM,Medico,Piccola,Locale,,,CM,Stagione,24/25,"28,689 €",,"28,689 €","1,366 €",,,0 €,"8,201 €",,,,,,,,,,,,
ITELYUM,Rifiuti,Grande,Nazionale,,,CASH,Stagione,24/25,"165,000 €","5,000 €","160,431 €","6,962 €",,,"3,444 €","55,826 €",,,"50,000 €",,,"50,000 €",,,"50,000 €",,"15,000 €",
LIUC,Scolastico/Corsi,Media,Nazionale,,,CASH,Stagione,24/25,"6,500 €",,"6,500 €",30 €,,,0 €,"6,050 €",,,"6,500 €",,,,,,,,,
LOCAUTO,Automotive,Grande,Nazionale,,,CASH,Stagione,24/25,"10,100 €","1,500 €","9,595 €",583 €,,,505 €,845 €,,,,,,"10,100 €",,,,,,
MACCECHINI,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,"3,000 €",,"2,402 €",80 €,,,598 €,"1,082 €",,,,,,,,,,,,
MACCHI VARESE,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,24/25,"4,500 €",700 €,"3,429 €",95 €,,,"1,071 €","2,004 €",,,"1,500 €","1,500 €","1,500 €",,,,,,,
MAGHETTI,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,"16,000 €",,"9,908 €",745 €,,,"4,592 €","-1,387 €",,,"5,000 €",,,,"5,000 €","6,000 €",,,,
MALPENSA 24,Media,Piccola,Locale,,,CM,Stagione,24/25,"7,500 €",,"7,500 €",81 €,,,0 €,"6,290 €",,,,,,,,,,,,
MARANGON,,,,,,CASH,Metà Stagione,24/25,"3,000 €",,"3,000 €",132 €,,,0 €,"1,020 €",,,,,,,"1,000 €","1,000 €","1,000 €",,,
MAS AMOR,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,24/25,"20,000 €",,"19,348 €",486 €,,,652 €,"12,060 €",,,,,,,,,,,,
MASTERPACK,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,"15,000 €","2,500 €","10,179 €",573 €,,,"4,071 €","1,459 €",,,,"15,000 €",,,,,,,,
MAZZUCHELLI,Commercio/GDO,Piccola,Locale,,,CASH,Anno Solare,24/25,"6,750 €",,"6,750 €",516 €,,,0 €,-988 €,,,"2,500 €",,,"2,500 €",,,,,,
MEDIBRAND,Medico,Piccola,Nazionale,,,CM,Stagione,24/25,"17,000 €",,"13,556 €",335 €,,,"3,444 €","8,531 €",,,,,,,,,,,,
MOTOROLA ,Elettronica,Grande,Internazionale,,,CASH,Stagione,24/25,"130,000 €","10,000 €","117,816 €","2,572 €",,,"9,184 €","78,761 €",,,,,,"70,000 €",,,"60,000 €",,,
NIPPO MOTORS_CM,Automotive,Media,Locale,,,CASH,Stagione,24/25,"10,000 €",,"6,954 €",458 €,,,"2,296 €",-29 €,,,,,,"7,000 €",,,,,,"3,000 €"
NIPPO MOTORS,Automotive,Media,Locale,,,CM,Stagione,24/25,"3,000 €",,"3,000 €",0 €,,,0 €,"3,000 €",,,,,,,,,,,,
NOVELLO,Industria,Piccola,Nazionale,,,CASH,Stagione,24/25,"15,000 €","2,000 €","12,520 €",968 €,,,"2,480 €","-1,995 €",,,,"7,500 €",,"7,500 €",,,,,,
NUTRITION & SANTE - ISOSTAD,Food & Beverage,Grande,Nazionale,,,CASH,Stagione,24/25,"2,500 €","1,000 €","2,500 €",423 €,,,0 €,"-3,840 €",,,,,,,"2,500 €",,,,,
NUTRITION & SANTE - ISOSTAD_CM,Food & Beverage,Grande,Nazionale,,,CM,Stagione,24/25,"3,500 €",,"3,500 €",0 €,,,0 €,"3,500 €",,,,,,,,,,,,
OLYMPIA WEALTH,Finanziario/Bancario,Piccola,Internazionale,,,CASH,Stagione,24/25,"2,000 €",,"2,000 €",67 €,"2,000 €",,0 €,"-1,000 €",,,,,,,,"20,000 €",,,,
OPENJOBMETIS,Lavoro,Grande,Nazionale,,,CASH,Stagione,24/25,"510,000 €",,"467,057 €","9,775 €",,,"31,873 €","319,467 €",,,"50,000 €","50,000 €","50,000 €","50,000 €","50,000 €","50,000 €","50,000 €","50,000 €",,
ORGOGLIO VARESE,Altro,Piccola,Locale,,,CASH,Stagione,24/25,"20,000 €",,"20,000 €",0 €,,,0 €,"20,000 €",,,,,,,,,,,,"20,000 €"
ORRIGONI GOMME,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,750 €,,418 €,5 €,,,332 €,343 €,,,,,,,,,,,,
OSSOLA,Consulenza/Libero Prof.,Piccola,Locale,,,CM,Stagione,24/25,"5,000 €",,-306 €,0 €,,,"5,306 €",-486 €,,,,,,,,,,,,
PASTICCERIA MILANO,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,"4,000 €",,"4,000 €",137 €,,,0 €,"1,950 €",,,,,,,,,,,,
PAUL & SHARK,Abbigliamento,Grande,Internazionale,,,CM,Stagione,24/25,"7,500 €",,"4,454 €",0 €,,,"2,296 €","4,454 €",,,,,,,,,,,,
PREMIATA,Ho.Re.Ca.,Piccola,Locale,,,CASH,Stagione,24/25,"1,000 €",,"1,000 €",108 €,,,0 €,-613 €,,,,,,,"1,000 €",,,,,
PUBLYTEAM,Comunicazione/Pubblicità,Piccola,Regionale,,,CASH,Stagione,24/25,"5,000 €",,"4,242 €",345 €,,,758 €,-933 €,,,,,,"5,000 €",,,,,,
PREVCOM,Commercio/GDO,Grande,Nazionale,,,CASH,Stagione,24/25,,,"476,964 €","2,900 €","250,000 €",,"19,346 €",,,,,,,,,,,,,
RB ALBERGHIERA,Ho.Re.Ca.,Piccola,Locale,,,CASH,Anno Solare,24/25,"2,500 €",,"2,500 €",116 €,,,0 €,763 €,,,,,,,,,,,,
RENT4FOOD,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,"10,000 €",,"7,858 €",340 €,,,"2,142 €","2,758 €",,,,,,,,,,,,
SANGIACOMO DECOR,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,"6,000 €","1,000 €","4,738 €",275 €,,,"1,262 €",613 €,,,,,,,,,,,,
SECONDA STRADA,Commercio/GDO,Media,Locale,,,CASH,Stagione,24/25,"5,000 €","1,000 €","4,525 €",338 €,,,475 €,-550 €,,,,"2,500 €",,,"2,500 €",,,,,
SECONDA STRADA_CM,Commercio/GDO,Media,Locale,,,CM,Stagione,24/25,"3,000 €",,"3,000 €",23 €,,,0 €,"2,650 €",,,,,,,,,,,,
SEV,Media,Piccola,Locale,,,CM,Stagione,24/25,"9,500 €",,"8,572 €",81 €,,,928 €,"7,362 €",,,,,,,,,,,,
SIELCO,IT,Media,Locale,,,CASH,Anno Solare,24/25,"5,000 €",,"4,286 €",210 €,,,714 €,"1,141 €",,,,,,,,,,,,
SIMONE FUSO,Consulenza/Libero Prof.,Piccola,Locale,,,CASH,Stagione,24/25,"4,000 €",600 €,"3,286 €",352 €,,,714 €,"-1,989 €",,,,"2,000 €",,,"1,000 €","1,000 €",,,,
SONICA SERVICE,Servizi/Artigiano,Piccola,Locale,,,CM,Stagione,24/25,"10,000 €",,"9,286 €",160 €,,,714 €,"6,886 €",,,,,,,,,,,,
STRUQTURE,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,"6,600 €","1,000 €","4,815 €",363 €,,,"1,785 €",-635 €,,,,,,"6,500 €",,,,,,
SUMMEET,Comunicazione/Pubblicità,Media,Nazionale,,,CASH,Stagione,24/25,,"3,000 €","18,463 €",798 €,,,"5,345 €",,,,,,,,,,,,,
SUNRISE MEDIA ,Media,Piccola,Locale,,,CM,Stagione,24/25,"12,000 €",,"6,175 €",0 €,,,"5,075 €","6,055 €",,,,,,,,,,,,
TCI,Industria,Grande,Nazionale,,,CASH,Stagione,24/25,"100,000 €","15,000 €","84,976 €","2,562 €",,,"13,794 €","46,011 €",,,"10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €"
TECNOSERVIZI,Facility Management,Piccola,Locale,,,CM,Stagione,24/25,"10,000 €",,"10,000 €",340 €,,,0 €,"4,900 €",,,,,,,,,,,,
TEMA AVIO,Aerospace,Piccola,Internazionale,,,CASH,Stagione,24/25,"10,000 €",,"5,900 €",573 €,,,"3,350 €","-2,820 €",,,,,"10,000 €",,,,,,,
TICINOPASS,Servizi/Artigiano,Piccola,Regionale,,,CASH,Stagione,24/25,"2,700 €",,"2,700 €",603 €,,,0 €,"-6,350 €",,,,,"2,700 €",,,,,,,
