Azienda,Settore,Dimensione,Livello,Contatto,Email,Tipo Contratto,Durata Contratto,Season,Commercial Value,Bonus Playoff,Net of Ticketing,Gameday Reconciliation,VB Reconciliaiton,CSR Reconciliation,Corp Tix Reconciliation,Sponsor Reconciliation,July,August,September,October,November,December,January,February,March,April,May,June
TIGROS,Commercio/GDO,Grande,Regionale,,,CASH,Stagione,24/25,"100,000 €",,"91,612 €","5,108 €",,,"6,888 €","14,807 €",,,,"40,000 €",,"30,000 €",,"30,000 €",,,,
TORSELLINI VETRO,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,"8,000 €",,"4,954 €",640 €,,,"2,296 €","-4,646 €",,,"4,000 €",,,,"4,000 €",,,,,
TREVISION,Servizi/Artigiano,Piccola,Regionale,,,CM,Stagione,24/25,"10,000 €",,"10,000 €",138 €,,,0 €,"7,938 €",,,,,,,,,,,,
UNIVA SERVIZI,Pubblico,Piccola,Locale,,,CASH,Stagione,24/25,"4,400 €",,"3,138 €",17 €,,,"1,262 €","2,888 €",,,,,,"4,400 €",,,,,,
VALMORA_CM,Food & Beverage,Grande,Nazionale,,,CM,Stagione,24/25,"6,000 €",,"6,000 €",0 €,,,0 €,"6,000 €",,,,,,,,,,,,
VALMORA,Food & Beverage,Grande,Nazionale,,,CASH,Stagione,24/25,"20,000 €",,"17,704 €","1,164 €",,,"2,296 €",242 €,,,"10,000 €",,,,,"10,000 €",,,,
VARESENEWS,Media,Piccola,Locale,,,CM,Stagione,24/25,"7,500 €",,"7,500 €",81 €,,,0 €,"6,290 €",,,,,,,,,,,,
VARESENOI,Media,Piccola,Locale,,,CM,Stagione,24/25,"7,500 €",,"7,500 €",81 €,,,0 €,"6,290 €",,,,,,,,,,,,
VCV,Servizi/Artigiano,Piccola,Locale,,,CASH,Stagione,24/25,"10,000 €","1,500 €","8,473 €",557 €,,,"1,527 €",123 €,,,,,,,"10,000 €",,,,,
VERBANO CARTE,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,"4,500 €",,"3,028 €",116 €,,,"1,472 €","1,291 €",,,,,,,,,,,,
VIRAS,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,"1,500 €",,"1,500 €",0 €,,,0 €,"1,500 €",,,,,,,,,,,,
VIVATICKET,Servizi/Artigiano,Grande,Nazionale,,,CM,Stagione,24/25,"25,000 €","5,000 €","18,908 €",388 €,,,"4,592 €","13,083 €",,,,,,,,,,,,
VNC OWNER'S CLUB_CM,Altro,Piccola,Locale,,,CM,Stagione,24/25,"51,788 €",,"51,788 €",0 €,,,0 €,"51,788 €",,,,,,,,,,,,
VNC OWNER'S CLUB,Altro,Piccola,Locale,,,CASH,Stagione,24/25,"295,600 €",,"183,684 €","12,673 €",,,"83,686 €","-11,863 €",,,,"50,000 €","50,000 €",,"50,000 €","50,000 €",,"50,000 €","50,000 €",
WESTMINSTER,Immobiliare,Media,Internazionale,,,CASH,Stagione,24/25,"100,000 €",,"71,170 €","1,602 €",,,"23,295 €","46,785 €",,,"50,000 €",,,"50,000 €",,,,,,
YOP,Comunicazione/Pubblicità,Piccola,Locale,,,CM,Stagione,24/25,"45,000 €",,"45,000 €",952 €,,,0 €,"30,720 €",,,,,,,,,,,,
ZOCCHI_CM,Commercio/GDO,Piccola,Locale,,,CM,Stagione,24/25,"1,000 €",,"1,000 €",0 €,,,0 €,"1,000 €",,,,,,,,,,,,
ZOCCHI,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,24/25,"10,000 €",,"3,908 €",490 €,,,"4,592 €","-3,622 €",,,,"5,000 €",,,"5,000 €",,,,,
ZONIN,Food & Beverage,Grande,Nazionale,,,CM,Stagione,24/25,"5,000 €",,"4,286 €",33 €,,,714 €,"3,786 €",,,,,,,,,,,,
A SERVICES,Facility Management,Piccola,Nazionale,,,CASH,Stagione,25/26,"10,000 €","1,500 €","7,541 €",270 €,,,"2,459 €","1,524 €",,,,,"10,000 €",,,,,,,
ABBIATI, Serramenti,Media,Locale,,,CASH,Stagione,25/26,"7,500 €","1,000 €","6,836 €",480 €,,,664 €,-359 €,,,,"1,500 €","1,500 €",,"1,500 €",,"1,500 €",,"1,500 €",
ACINQUE,Energia,Grande,Regionale,,,CASH,Stagione,25/26,"65,000 €","9,000 €","60,541 €","2,512 €",,,"4,459 €","21,145 €",,,,"30,000 €",,,"30,000 €",,,,,
ACOMEA,Finanziario/Bancario,Grande,Nazionale,,,CASH,Anno Solare,25/26,"2,500 €",,"2,500 €",0 €,,,0 €,"2,500 €",,,,,,,,,,,,
AERAS AVIATION,Aerospace,Grande,Internazionale,,,CASH,Stagione,25/26,"30,000 €",,"20,984 €",720 €,,,"9,016 €","6,005 €",,,,,,,,,,,,
AGRICOLA,Commercio/GDO,Media,Locale,,,CASH,Stagione,25/26,"15,000 €","2,500 €","13,340 €",657 €,,,"1,660 €","3,367 €",,,"5,000 €",,,"5,000 €",,"5,000 €",,,,
ALA,Aerospace,Grande,Internazionale,,,CASH,Stagione,25/26,"20,000 €","3,000 €","16,311 €",703 €,,,"3,689 €","4,287 €",,,"10,000 €",,,,"10,000 €",,,,,
ALFA,Pubblico/Ass. Categ.,Grande,Locale,,,CASH,Stagione,25/26,"15,000 €","2,000 €","12,975 €",373 €,,,"2,025 €","7,375 €",,,,,,,,,,,,
AON,Assicurazioni,Grande,Internazionale,,,CASH,Stagione,25/26,"15,000 €","2,000 €","11,311 €",440 €,,,"3,689 €","3,237 €",,,,,,,,,,,,
ARTES,Industria,Media,Nazionale,,,CASH,Stagione,25/26,"16,500 €","3,000 €","14,840 €",764 €,,,"1,660 €","3,378 €",,,,,,,"6,500 €","5,000 €","5,000 €",,,
AUTOLINEE VARESINE,Trasporti,Media,Locale,,,CM,Stagione,25/26,"12,000 €",,"5,754 €",200 €,,,"6,246 €",173 €,,,,,,,,,,,,
BCC,Finanziario/Bancario,Grande,Nazionale,,,CASH,Stagione,25/26,"4,919 €",,1 €,0 €,,,"4,918 €",1 €,,,,,,,,,,,,
BECCARIA,Medico,Media,Locale,,,CM,Stagione,25/26,"30,000 €",,"30,000 €",765 €,,,0 €,"18,525 €",,,,,,,,,,,,
BRAGA,Industria,Grande,Nazionale,,,CASH,Stagione,25/26,"15,000 €","2,500 €","15,000 €",908 €,,,0 €,"1,375 €",,,,,"15,000 €",,,,,,,
C'ERA UNA VOLTA,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,25/26,"10,000 €",,"9,246 €",147 €,"10,000 €",,754 €,"-2,954 €",,,,,,,,,,,,
CARLSBERG,Food & Beverage,Grande,Internazionale,,,CASH,Stagione,25/26,"20,000 €","3,000 €","15,820 €",945 €,,,"4,180 €",169 €,,,"10,000 €",,,,"10,000 €",,,,,
CARLSBERG-CM,Food & Beverage,Grande,Internazionale,,,CM,Stagione,25/26,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
CENTRELLA,Medico,Piccola,Locale,,,CASH,Stagione,25/26,"5,800 €","1,000 €","4,423 €",365 €,,,"1,377 €","-1,790 €",,,,,,,"2,900 €",,,"2,900 €",,
COLORIFICIO PAPOTTI,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,25/26,"4,800 €",500 €,"3,472 €",102 €,,,"1,328 €","1,824 €",,,"1,000 €",,"1,000 €",,"1,000 €",,"1,000 €",,800 €,
CONSULTINVEST,Finanziario/Bancario,Grande,Nazionale,,,CASH,Anno Solare,25/26,"5,000 €",,"3,344 €",306 €,,,"1,656 €","-1,246 €",,,,,,,,,,,,
CORSI DI LINGUE,Scolastico/Corsi,Piccola,Regionale,,,CM,Stagione,25/26,"7,500 €",,"6,123 €",340 €,,,"1,377 €",900 €,,,,,,,,,,,,
CREATIVE LABS,Servizi,Piccola,Nazionale,,,CASH,Stagione,25/26,"10,000 €","1,500 €","7,541 €",270 €,,,"2,459 €","1,524 €",,,,,"10,000 €",,,,,,,
DUFERCO,Energia,Grande,Nazionale,,,CASH,Stagione,25/26,"20,000 €","3,000 €","17,910 €",718 €,,,"2,090 €","7,135 €",,,,,,,,,,,,
EDILDOMUS,Edilizia,Piccola,Locale,,,CASH,Stagione,25/26,"6,000 €",600 €,"5,336 €",147 €,"2,000 €",,664 €,"1,136 €",,,,,,,,,,,,
ELMAR,Elettronica,Media,Regionale,,,CASH,Stagione,25/26,"15,000 €","2,250 €","9,672 €",597 €,,,"5,328 €",599 €,,,"5,000 €",,,"5,000 €",,,"5,000 €",,,
ELMEC,IT/ISP,Grande,Nazionale,,,CASH,Stagione,25/26,"100,000 €",,"84,939 €",450 €,"70,000 €",,"15,061 €","5,853 €",,,,"15,000 €",,"15,000 €",,,,,,
ERREÀ,Abbigliamento,Media,Nazionale,,,CM,Stagione,25/26,"65,000 €",,"61,680 €",972 €,,,"3,320 €","46,860 €",,,,,,,,,,,,
ESSE SOLAR,Energia,Media,Regionale,,,CASH,Stagione,25/26,"15,000 €",,"10,902 €",537 €,,,"4,098 €",148 €,,,,,,,,,,,,
FARMAZIA ZOCCHI,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,25/26,"10,000 €","1,500 €","6,721 €",490 €,,,"3,279 €","-2,349 €",,,,"5,000 €",,,"5,000 €",,,,,
FARMAZIA ZOCCHI-CM,Commercio/GDO,Piccola,Locale,,,CM,Stagione,25/26,"2,000 €",,"2,000 €",0 €,,,0 €,"2,000 €",,,,,,,,,,,,
FIGI EVENTI, Eventi,Piccola,Locale,,,CASH,Stagione,25/26,"10,000 €",,"3,361 €",90 €,,,"6,639 €","-1,308 €",,,"10,000 €",,,,,,,,,
FILVA,Industria,Media,Nazionale,,,CASH,Stagione,25/26,"7,110 €","1,000 €","5,782 €",178 €,,,"1,328 €","3,107 €",,,,"7,110 €",,,,,,,,
FINAZZI, Serramenti,Media,Locale,,,CASH,Stagione,25/26,"7,500 €","1,000 €","6,582 €",157 €,,,918 €,"4,232 €",,,,,"7,500 €",,,,,,,
FNM,Trasporti,Grande,Regionale,,,CASH,Stagione,25/26,"45,000 €",,"43,164 €","1,326 €",,"15,000 €","1,836 €","6,553 €",,,"5,000 €",,,,,"20,000 €",,,"20,000 €",
FRAGALE,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,25/26,"3,500 €",,"3,500 €",40 €,,,0 €,"2,900 €",,,,,,,,,,,,
GARAGE,Ho.Re.Ca.,Piccola,Locale,,,CASH,Stagione,25/26,"4,700 €",,"3,294 €",68 €,,,"1,406 €","2,282 €",,,700 €,500 €,500 €,500 €,500 €,500 €,500 €,500 €,500 €,
GENESI RETAIL,Commercio/GDO,Piccola,Regionale,,,CM,Stagione,25/26,"25,000 €",,"25,000 €",888 €,,,0 €,"11,685 €",,,,,,,,,,,,
GHERITTI,Facility Management,Piccola,Locale,,,CASH,Stagione,25/26,"4,500 €",500 €,"3,836 €",141 €,,,664 €,"1,724 €",,,,,,,,,,,,
GHIELMETTI CERAMICHE,Commercio/GDO,Piccola,Locale,,,CM,Stagione,25/26,"7,500 €",,"2,734 €",120 €,,,"4,766 €",934 €,,,,,,,,,,,,
GIULIANI FILIPPO,Consulenza/Libero Prof.,Piccola,Locale,,,CASH,Stagione,25/26,"3,000 €",400 €,"3,000 €",153 €,,,0 €,705 €,,,,,,,,,,,,
GRAFICHE QUIRICI,Servizi,Piccola,Locale,,,CM,Stagione,25/26,"7,000 €",,"4,443 €",198 €,,,"2,557 €","1,473 €",,,,,,,,,,,,
GRESSONEY - VALLE D'AOSTA,Pubblico/Ass. Categ.,Media,Regionale,,,CASH,Stagione,25/26,"30,000 €",,"30,000 €","1,667 €",,,0 €,"5,000 €",,,,,,,,,,,,"30,000 €"
IDROTECH,Artigiano,Piccola,Locale,,,CASH,Stagione,25/26,"6,500 €","1,000 €","4,508 €",282 €,,,"1,992 €",283 €,,,"2,500 €","2,000 €","2,000 €",,,,,,,
IN PIÙ BROKER,Assicurazioni,Media,Nazionale,,,CASH,Stagione,25/26,"15,000 €",,"13,361 €",987 €,,,"1,639 €","-2,180 €",,,,,"5,000 €",,"5,000 €",,,"5,000 €",,
INTESA SAN PAOLO,Finanziario/Bancario,Grande,Internazionale,,,CASH,Stagione,25/26,"180,000 €","10,000 €","159,221 €","2,182 €",,"20,000 €","20,779 €","106,006 €",,,,,,,,,,,,
INTRED,IT/ISP,Media,Regionale,,,CM,Stagione,25/26,"38,228 €",,"35,482 €","1,777 €",,,"2,746 €","8,827 €",,,,,,,,,,,,
ITELYUM,Rifiuti,Grande,Nazionale,,,CASH,Stagione,25/26,"199,000 €","10,000 €","177,788 €","5,917 €",,"10,000 €","21,212 €","72,595 €",,,"50,000 €",,,"50,000 €",,,"50,000 €",,"15,000 €",
KAISEKI,Food & Beverage,Media,Regionale,,,CASH,Stagione,25/26,"10,000 €",,"7,541 €",270 €,,,"2,459 €","1,524 €",,,,,"10,000 €",,,,,,,
LIUC,Scolastico/Corsi,Media,Nazionale,,,CASH,Stagione,25/26,"10,000 €","1,000 €","10,000 €",379 €,,,0 €,"4,310 €",,,,,,,,,,,,
MACCECHINI,Commercio/GDO,Piccola,Locale,,,CM,Stagione,25/26,"3,000 €",,"2,500 €",80 €,,,500 €,"1,177 €",,,,,,,,,,,,
MACCHI VARESE,Commercio/GDO,Piccola,Locale,,,CASH,Stagione,25/26,"4,540 €",700 €,"3,544 €",180 €,,,996 €,844 €,,,"1,500 €","1,500 €","1,540 €",,,,,,,
MAGHETTI,Altro,Media,Regionale,,,CASH,Stagione,25/26,"12,500 €",,"9,287 €",300 €,,,"3,213 €","1,836 €",,,"5,000 €",,,,"5,000 €",,"2,500 €",,,
MANERA,Industria,Media,Regionale,,,CASH,Stagione,25/26,"10,000 €",,"5,902 €",40 €,,,"4,098 €","5,179 €",,,,"10,000 €",,,,,,,,
MAS AMOR,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,25/26,"22,500 €",,"21,508 €",481 €,,,992 €,"14,296 €",,,,,,,,,,,,
MASTERPACK,Industria,Grande,Internazionale,,,CASH,Stagione,25/26,"15,000 €","2,500 €","11,730 €",712 €,,,"3,270 €","1,045 €",,,,"15,000 €",,,,,,,,
MEDIBRAND,Elettronica,Piccola,Nazionale,,,CM,Stagione,25/26,"4,000 €",,"2,623 €",210 €,,,"1,377 €",-527 €,,,,,,,,,,,,
MINTOR,Industria,Piccola,Locale,,,CASH,Stagione,25/26,"7,635 €",,996 €,0 €,,,"6,639 €",996 €,,,,,,,,,,,,
MOTOROLA,Elettronica,Grande,Internazionale,,,CASH,Stagione,25/26,"130,000 €",,"121,639 €","3,650 €",,,"8,361 €","66,397 €",,,,,,"50,000 €",,,"40,000 €",,"40,000 €",
NIPPO MOTORS,Automotive,Media,Locale,,,CASH,Stagione,25/26,"10,000 €",,"6,967 €",583 €,,,"3,033 €","-2,631 €",,,,,"5,000 €",,,,,,,"5,000 €"
NIPPO MOTORS - CM,Automotive,Media,Locale,,,CM,Stagione,25/26,"3,000 €",,"3,000 €",0 €,"3,000 €",,0 €,0 €,,,,,,,,,,,,
OPENJOBMETIS,Lavoro,Grande,Internazionale,,,CASH,Stagione,25/26,"810,000 €",,"750,913 €","13,960 €",,,"59,087 €","522,775 €",,,"75,000 €","50,000 €","75,000 €","75,000 €","50,000 €","50,000 €","50,000 €","50,000 €",,
OSSOLA,Consulenza/Libero Prof.,Piccola,Locale,,,CM,Stagione,25/26,"5,000 €",,-306 €,0 €,,,"5,306 €",-486 €,,,,,,,,,,,,
PICKEAT,Servizi,Piccola,Nazionale,,,CM,Stagione,25/26,"4,491 €",,"4,491 €",0 €,,,0 €,"4,491 €",,,,,,,,,,,,
PREVCOM,Commercio/GDO,Media,Nazionale,,,CASH,Stagione,25/26,"500,000 €",,"485,656 €","3,965 €","250,000 €",,"14,344 €","171,997 €","50,000 €",,"50,000 €","50,000 €","50,000 €","50,000 €",,,,,,
PUBLYTEAM,Comunicazione/Pubblicità,Media,Nazionale,,,CM,Stagione,25/26,"5,000 €",,"4,242 €",345 €,,,758 €,-933 €,,,,,,,,,,,,
RB ALBERGHIERA,Ho.Re.Ca.,Piccola,Locale,,,CM,Stagione,25/26,"5,000 €",,"3,893 €",237 €,,,"1,107 €",343 €,,,,,,,,,,,,
RENT4FOOD,Servizi,Piccola,Regionale,,,CM,Stagione,25/26,"10,000 €",,"8,008 €",340 €,,,"1,992 €","2,785 €",,,,,,,,,,,,
RICOH,IT/ISP,Grande,Internazionale,,,CASH,Stagione,25/26,"23,500 €","3,500 €","20,365 €",838 €,,,"3,135 €","6,560 €",,,"13,500 €",,,"10,000 €",,,,,,
RICOLA,Food & Beverage,Media,Nazionale,,,CASH,Stagione,25/26,"20,000 €","2,500 €","20,000 €","1,409 €",,,0 €,"-1,130 €",,,"10,000 €",,"10,000 €",,,,,,,
SECONDA STRADA,Abbigliamento,Media,Regionale,,,CASH,Stagione,25/26,"5,000 €","1,000 €","4,115 €",423 €,,,885 €,"-2,235 €",,,,"2,500 €",,,"2,500 €",,,,,
SECONDA STRADA-CM,Abbigliamento,Media,Regionale,,,CM,Stagione,25/26,"3,000 €",,"3,000 €",0 €,,,0 €,"3,000 €",,,,,,,,,,,,
SEVEN STARS, Eventi,Piccola,Locale,,,CM,Stagione,25/26,"4,000 €",,"4,000 €",180 €,,,0 €,"1,300 €",,,,,,,,,,,,
SIELCO,IT/ISP,Media,Locale,,,CASH,Anno Solare,25/26,"5,000 €","1,000 €","3,230 €",284 €,,,"1,770 €","-1,033 €",,,,,,,,,,,,
SIMONE FUSO,Consulenza/Libero Prof.,Piccola,Locale,,,CASH,Stagione,25/26,"4,500 €",650 €,"3,836 €",78 €,,,664 €,"2,661 €",,,,"1,500 €",,,"1,500 €","1,500 €",,,,
SONICA SERVICE,Servizi,Piccola,Locale,,,CM,Stagione,25/26,"10,000 €",,"9,336 €",160 €,,,664 €,"6,936 €",,,,,,,,,,,,
SORU,Consulenza/Libero Prof.,Piccola,Locale,,,CM,Stagione,25/26,"11,000 €",,"9,230 €",305 €,,,"1,770 €","4,410 €",,,,,,,,,,,,
INTRED,IT,,,,,CM,Stagione,26/27,"38,228 €",,"38,228 €",0 €,,,0 €,"38,228 €",,,,,,,,,,,,
ALA,,,,,,CASH,Stagione,26/27,"20,000 €","3,000 €","20,000 €",0 €,,,0 €,"20,000 €",,,"10,000 €",,,,"10,000 €",,,,,
ACINQUE,,,,,,CASH,Stagione,26/27,"60,000 €","9,000 €","60,000 €",0 €,,,0 €,"60,000 €",,,,"30,000 €",,,"30,000 €",,,,,
MEDIBRAND,,,,,,CM,Stagione,26/27,"4,000 €",,"4,000 €",0 €,,,0 €,"4,000 €",,,,,,,,,,,,
ESSE SOLAR,Energia,Media,Regionale,,,CASH,Stagione,26/27,"15,000 €",,"15,000 €",0 €,,,0 €,"15,000 €",,,,,,,,,,,,
CARLSBERG,,,,,,CASH,Stagione,26/27,"20,000 €","3,000 €","20,000 €",0 €,,,0 €,"20,000 €",,,"10,000 €",,,,"10,000 €",,,,,
CARLSBERG-CM,,,,,,CM,Stagione,26/27,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
VIVATICKET,,,,,,CM,Stagione,26/27,"25,000 €",,"25,000 €",0 €,,,0 €,"25,000 €",,,,,,,,,,,,
ACINQUE,,,,,,CASH,Stagione,27/28,"60,000 €","9,000 €","60,000 €",0 €,,,0 €,"60,000 €",,,,"30,000 €",,,"30,000 €",,,,,
MEDIBRAND,,,,,,CM,Stagione,27/28,"4,000 €",,"4,000 €",0 €,,,0 €,"4,000 €",,,,,,,,,,,,
CARLSBERG,,,,,,CASH,Stagione,27/28,"20,000 €","3,000 €","20,000 €",0 €,,,0 €,"20,000 €",,,"10,000 €",,,,"10,000 €",,,,,
CARLSBERG-CM,,,,,,CM,Stagione,27/28,"5,000 €",,"5,000 €",0 €,,,0 €,"5,000 €",,,,,,,,,,,,
STRUQTURE,Consulenza/Libero Prof.,Piccola,Locale,,,CASH,Stagione,25/26,"4,500 €","1,000 €","2,840 €",340 €,,,"1,660 €","-2,260 €",,,,,,"4,500 €",,,,,,
SUMMEET, Eventi,Media,Nazionale,,,CASH,Stagione,25/26,"45,000 €","5,000 €","31,754 €","1,278 €",,,"13,246 €","10,008 €",,,,,,,"15,000 €","15,000 €",,"15,000 €",,
SUNRISE,Media,Piccola,Locale,,,CM,Stagione,25/26,0 €,,"-4,471 €",0 €,,,"4,471 €","-4,471 €",,,,,,,,,,,,
TCI,Elettronica,Grande,Nazionale,,,CASH,Stagione,25/26,"100,000 €","15,000 €","91,410 €","2,457 €",,,"8,590 €","52,593 €",,,"10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €","10,000 €"
TEMA AVIO,Aerospace,Media,Nazionale,,,CASH,Stagione,25/26,"10,000 €","1,500 €","4,824 €",323 €,,,"5,176 €","-1,625 €",,,,,"10,000 €",,,,,,,
TIGROS,Commercio/GDO,Grande,Regionale,,,CASH,Stagione,25/26,"250,000 €",,"244,631 €","2,600 €",,,"5,369 €","204,156 €",,,,,,,,,,,,
TORSELLINI VETRO,Artigiano,Piccola,Locale,,,CASH,Stagione,25/26,"8,000 €",,"6,361 €",320 €,,,"1,639 €",823 €,,,"4,000 €",,,,"4,000 €",,,,,
UNIVA SERVIZI,Pubblico/Ass. Categ.,Media,Locale,,,CASH,Stagione,25/26,"4,400 €",,"3,355 €",12 €,,,"1,045 €","3,180 €",,,,,,,,,,,,
VALMORA,Food & Beverage,Grande,Nazionale,,,CASH,Stagione,25/26,"25,000 €",,"22,910 €","1,092 €",,,"2,090 €","6,535 €",,,"10,000 €","10,000 €",,,,"15,000 €",,,,
VARESE NEL CUORE,Altro,Piccola,Locale,,,CASH,Stagione,25/26,"244,681 €",,"187,525 €","8,100 €","12,000 €",,"57,156 €","26,738 €",,,,,,,,,,,,
VARESE NEL CUORE-CM,Altro,Piccola,Locale,,,CM,Stagione,25/26,"55,319 €",,"55,319 €",0 €,,,0 €,"55,319 €",,,,,,,,,,,,
VCV,Servizi,Media,Locale,,,CASH,Stagione,25/26,"10,000 €","1,500 €","9,262 €",552 €,,,738 €,987 €,,,,,"10,000 €",,,,,,,
VERBANO CARTE,Altro,Piccola,Locale,,,CM,Stagione,25/26,"4,500 €",,"3,246 €",75 €,,,"1,254 €","2,121 €",,,,,,,,,,,,
VIRAS,Commercio/GDO,Piccola,Locale,,,CM,Stagione,25/26,"2,500 €",,"1,836 €",120 €,,,664 €,36 €,,,,,,,,,,,,
VIVATICKET,Altro,Grande,Nazionale,,,CM,Stagione,25/26,"25,000 €",,"25,000 €",0 €,,,0 €,"25,000 €",,,,,,,,,,,,
WESTMINSTER,Immobiliare,Media,Internazionale,,,CASH,Stagione,25/26,"100,000 €",,"75,463 €","1,497 €",,,"24,537 €","47,553 €",,,"50,000 €",,,"50,000 €",,,,,,
ZONIN,Food & Beverage,Grande,Internazionale,,,CM,Stagione,25/26,"8,000 €",,"6,607 €",259 €,,,"1,393 €","2,719 €",,,,,,,,,,,,